Season,bowler,Wickets
2012,AA Jhunjhunwala,1
2012,AD Mascarenhas,1
2012,AD Russell,1
2012,BJ Hodge,1
2012,CJ McKay,1
2012,Harmeet Singh,1
2012,J Syed Mohammad,1
2012,JP Duminy,1
2012,LR Shukla,1
2012,PJ Sangwan,1
2012,SK Raina,1
2012,AA Chavan,2
2012,DE Bollinger,2
2012,KK Cooper,2
2012,M Kartik,2
2012,AB Dinda,3
2012,Anand Rajan,3
2012,Ankit Sharma,3
2012,BA Bhatt,3
2012,DJ Hussey,3
2012,DR Smith,3
2012,J Theron,3
2012,M de Lange,3
2012,MJ Clarke,3
2012,RJ Peterson,3
2012,S Dhawan,3
2012,SC Ganguly,3
2012,STR Binny,3
2012,VY Mahesh,3
2012,YK Pathan,3
2012,A Singh,4
2012,AB Agarkar,4
2012,AB McDonald,4
2012,DL Vettori,4
2012,Iqbal Abdulla,4
2012,MS Gony,4
2012,A Chandila,5
2012,AC Thomas,5
2012,B Lee,5
2012,Harbhajan Singh,5
2012,JEC Franklin,5
2012,KMDN Kulasekara,5
2012,P Parameswaran,5
2012,R Sharma,5
2012,RA Jadeja,5
2012,AD Mathews,6
2012,DS Kulkarni,6
2012,DT Christian,6
2012,KP Appanna,6
2012,MM Patel,6
2012,MN Samuels,6
2012,PP Ojha,6
2012,SR Watson,6
2012,WD Parnell,6
2012,GB Hogg,7
2012,J Botha,7
2012,M Muralitharan,7
2012,P Negi,7
2012,Pankaj Singh,7
2012,S Nadeem,7
2012,SW Tait,7
2012,Shakib Al Hasan,7
2012,HV Patel,8
2012,IK Pathan,8
2012,KA Pollard,8
2012,L Balaji,8
2012,RJ Harris,8
2012,SB Jakati,8
2012,B Kumar,9
2012,VR Aaron,9
2012,P Kumar,10
2012,A Ashish Reddy,11
2012,A Nehra,11
2012,JA Morkel,11
2012,RP Singh,11
2012,SK Trivedi,11
2012,A Mishra,12
2012,JH Kallis,12
2012,V Pratap Singh,12
2012,DW Steyn,13
2012,Azhar Mahmood,14
2012,BW Hilfenhaus,14
2012,R Bhatia,14
2012,SL Malinga,14
2012,PP Chawla,16
2012,Z Khan,16
2012,P Awana,17
2012,R Ashwin,17
2012,R Vinay Kumar,18
2012,DJ Bravo,19
2012,UT Yadav,19
2012,M Morkel,21
2012,SP Narine,28
2013,A Mithun,1
2013,AA Chavan,1
2013,AB McDonald,1
2013,AC Gilchrist,1
2013,AJ Finch,1
2013,AS Rajpoot,1
2013,B Laughlin,1
2013,BA Bhatt,1
2013,BMAJ Mendis,1
2013,Bipul Sharma,1
2013,CL White,1
2013,GH Vihari,1
2013,IC Pandey,1
2013,LR Shukla,1
