Team,Season,Rank
Chennai Super Kings,2008,3
Chennai Super Kings,2009,2
Chennai Super Kings,2010,3
Chennai Super Kings,2011,2
Chennai Super Kings,2012,4
Chennai Super Kings,2013,1
Chennai Super Kings,2014,3
Chennai Super Kings,2015,1
Chennai Super Kings,2018,2
Chennai Super Kings,2019,2
Chennai Super Kings,2020,7
Chennai Super Kings,2021,2
Chennai Super Kings,2022,9
Mumbai Indians,2008,5
Mumbai Indians,2009,7
Mumbai Indians,2010,1
Mumbai Indians,2011,3
Mumbai Indians,2012,3
Mumbai Indians,2013,2
Mumbai Indians,2014,4
Mumbai Indians,2015,2
Mumbai Indians,2016,5
Mumbai Indians,2017,1
Mumbai Indians,2018,5
Mumbai Indians,2019,1
Mumbai Indians,2020,1
Mumbai Indians,2021,5
Mumbai Indians,2022,10
Sunrisers Hyderabad,2013,4
Sunrisers Hyderabad,2014,6
Sunrisers Hyderabad,2015,6
Sunrisers Hyderabad,2016,3
Sunrisers Hyderabad,2017,3
Sunrisers Hyderabad,2018,1
Sunrisers Hyderabad,2019,4
Sunrisers Hyderabad,2020,3
Sunrisers Hyderabad,2021,8
Sunrisers Hyderabad,2022,8
Gujarat Lions,2016,1
Gujarat Lions,2017,7
Rising Pune Supergiant,2016,6
Rising Pune Supergiant,2017,8
Kolkata Knight Riders,2008,6
Kolkata Knight Riders,2009,8
Kolkata Knight Riders,2010,6
Kolkata Knight Riders,2011,4
Kolkata Knight Riders,2012,2
Kolkata Knight Riders,2013,7
Kolkata Knight Riders,2014,2
Kolkata Knight Riders,2015,5
Kolkata Knight Riders,2016,4
Kolkata Knight Riders,2017,4
Kolkata Knight Riders,2018,3
Kolkata Knight Riders,2019,5
Kolkata Knight Riders,2020,5
Kolkata Knight Riders,2021,4
Kolkata Knight Riders,2022,7
Royal Challengers Bangalore,2008,7
Royal Challengers Bangalore,2009,3
Royal Challengers Bangalore,2010,4
Royal Challengers Bangalore,2011,1
Royal Challengers Bangalore,2012,5
Royal Challengers Bangalore,2013,5
Royal Challengers Bangalore,2014,7
Royal Challengers Bangalore,2015,3
Royal Challengers Bangalore,2016,2
Royal Challengers Bangalore,2017,8
Royal Challengers Bangalore,2018,6
Royal Challengers Bangalore,2019,8
Royal Challengers Bangalore,2020,4
Royal Challengers Bangalore,2021,3
Royal Challengers Bangalore,2022,4
Rajasthan Royals,2008,1
Rajasthan Royals,2009,6
Rajasthan Royals,2010,7
Rajasthan Royals,2011,6
Rajasthan Royals,2012,7
Rajasthan Royals,2013,3
Rajasthan Royals,2014,5
Rajasthan Royals,2015,4
Rajasthan Royals,2018,4
Rajasthan Royals,2019,7
Rajasthan Royals,2020,8
Rajasthan Royals,2021,7
Rajasthan Royals,2022,2
Delhi Daredevils,2008,4
Delhi Daredevils,2009,1
Delhi Daredevils,2010,5
Delhi Daredevils,2011,10
Delhi Daredevils,2012,1
Delhi Daredevils,2013,9
Delhi Daredevils,2014,8
Delhi Daredevils,2015,7
Delhi Daredevils,2016,6
Delhi Daredevils,2017,6
Delhi Daredevils,2018,8
Kings XI Punjab,2008,2
Kings XI Punjab,2009,5
Kings XI Punjab,2010,8
Kings XI Punjab,2011,5
Kings XI Punjab,2012,6
Kings XI Punjab,2013,6
Kings XI Punjab,2014,1
Kings XI Punjab,2015,8
Kings XI Punjab,2016,8
Kings XI Punjab,2017,5
Kings XI Punjab,2018,7
Kings XI Punjab,2019,6
Kings XI Punjab,2020,6
Deccan Chargers,2008,8
Deccan Chargers,2009,4
Deccan Chargers,2010,2
Deccan Chargers,2011,7
Deccan Chargers,2012,8
Kochi Tuskers Kerala,2011,8
Pune Warriors,2011,9
Pune Warriors,2012,9
Pune Warriors,2013,8
Gujarat Titans,2022,1
Punjab Kings,2021,6
Punjab Kings,2022,6
Delhi Capitals,2019,3
Delhi Capitals,2020,2
Delhi Capitals,2021,1
Delhi Capitals,2022,5


