index,Season,ID,overs,BattingTeam,total_run,isWicketDelivery
0,2012,548321,0,Deccan Chargers,2,0
1,2012,548321,0,Delhi Daredevils,2,1
2,2012,548321,1,Deccan Chargers,7,0
3,2012,548321,1,Delhi Daredevils,5,0
4,2012,548321,2,Deccan Chargers,3,1
5,2012,548321,2,Delhi Daredevils,7,0
6,2012,548321,3,Deccan Chargers,14,0
7,2012,548321,3,Delhi Daredevils,6,1
8,2012,548321,4,Deccan Chargers,9,0
9,2012,548321,4,Delhi Daredevils,7,1
10,2012,548321,5,Deccan Chargers,15,0
11,2012,548321,5,Delhi Daredevils,7,0
12,2012,548321,6,Deccan Chargers,9,0
13,2012,548321,6,Delhi Daredevils,8,0
14,2012,548321,7,Deccan Chargers,11,0
15,2012,548321,7,Delhi Daredevils,17,0
16,2012,548321,8,Deccan Chargers,11,0
17,2012,548321,8,Delhi Daredevils,4,0
18,2012,548321,9,Deccan Chargers,3,1
19,2012,548321,9,Delhi Daredevils,8,1
20,2012,548321,10,Deccan Chargers,17,0
21,2012,548321,10,Delhi Daredevils,4,0
22,2012,548321,11,Deccan Chargers,5,1
23,2012,548321,11,Delhi Daredevils,8,0
24,2012,548321,12,Deccan Chargers,4,0
25,2012,548321,12,Delhi Daredevils,21,0
26,2012,548321,13,Deccan Chargers,3,1
27,2012,548321,13,Delhi Daredevils,9,0
28,2012,548321,14,Deccan Chargers,7,0
29,2012,548321,14,Delhi Daredevils,2,1
30,2012,548321,15,Deccan Chargers,5,0
31,2012,548321,15,Delhi Daredevils,6,0
32,2012,548321,16,Deccan Chargers,5,1
33,2012,548321,16,Delhi Daredevils,15,0
34,2012,548321,17,Deccan Chargers,5,2
35,2012,548321,17,Delhi Daredevils,14,0
36,2012,548321,18,Deccan Chargers,16,0
37,2012,548321,18,Delhi Daredevils,3,0
38,2012,548321,19,Deccan Chargers,6,1
39,2012,548322,0,Chennai Super Kings,1,0
40,2012,548322,0,Pune Warriors,6,0
41,2012,548322,1,Chennai Super Kings,7,0
42,2012,548322,1,Pune Warriors,10,0
43,2012,548322,2,Chennai Super Kings,5,0
44,2012,548322,2,Pune Warriors,15,1
45,2012,548322,3,Chennai Super Kings,18,0
46,2012,548322,3,Pune Warriors,12,0
47,2012,548322,4,Chennai Super Kings,8,0
48,2012,548322,4,Pune Warriors,5,0
