Season,ID,overs,BattingTeam,total_run
2012,548321,0,Deccan Chargers,2
2012,548321,0,Delhi Daredevils,2
2012,548321,1,Deccan Chargers,7
2012,548321,1,Delhi Daredevils,5
2012,548321,2,Deccan Chargers,3
2012,548321,2,Delhi Daredevils,7
2012,548321,3,Deccan Chargers,14
2012,548321,3,Delhi Daredevils,6
2012,548321,4,Deccan Chargers,9
2012,548321,4,Delhi Daredevils,7
2012,548321,5,Deccan Chargers,15
2012,548321,5,Delhi Daredevils,7
2012,548321,6,Deccan Chargers,9
2012,548321,6,Delhi Daredevils,8
2012,548321,7,Deccan Chargers,11
2012,548321,7,Delhi Daredevils,17
2012,548321,8,Deccan Chargers,11
2012,548321,8,Delhi Daredevils,4
2012,548321,9,Deccan Chargers,3
2012,548321,9,Delhi Daredevils,8
2012,548321,10,Deccan Chargers,17
2012,548321,10,Delhi Daredevils,4
2012,548321,11,Deccan Chargers,5
2012,548321,11,Delhi Daredevils,8
2012,548321,12,Deccan Chargers,4
2012,548321,12,Delhi Daredevils,21
2012,548321,13,Deccan Chargers,3
2012,548321,13,Delhi Daredevils,9
2012,548321,14,Deccan Chargers,7
2012,548321,14,Delhi Daredevils,2
2012,548321,15,Deccan Chargers,5
2012,548321,15,Delhi Daredevils,6
2012,548321,16,Deccan Chargers,5
2012,548321,16,Delhi Daredevils,15
2012,548321,17,Deccan Chargers,5
2012,548321,17,Delhi Daredevils,14
2012,548321,18,Deccan Chargers,16
2012,548321,18,Delhi Daredevils,3
2012,548321,19,Deccan Chargers,6
2012,548322,0,Chennai Super Kings,1
2012,548322,0,Pune Warriors,6
2012,548322,1,Chennai Super Kings,7
2012,548322,1,Pune Warriors,10
2012,548322,2,Chennai Super Kings,5
2012,548322,2,Pune Warriors,15
2012,548322,3,Chennai Super Kings,18
2012,548322,3,Pune Warriors,12
2012,548322,4,Chennai Super Kings,8
2012,548322,4,Pune Warriors,5
2012,548322,5,Chennai Super Kings,4
2012,548322,5,Pune Warriors,8
2012,548322,6,Chennai Super Kings,6
2012,548322,6,Pune Warriors,5
2012,548322,7,Chennai Super Kings,6
2012,548322,7,Pune Warriors,2
2012,548322,8,Chennai Super Kings,12
2012,548322,8,Pune Warriors,3
2012,548322,9,Chennai Super Kings,4
2012,548322,9,Pune Warriors,6
2012,548322,10,Chennai Super Kings,13
2012,548322,10,Pune Warriors,9
2012,548322,11,Chennai Super Kings,4
2012,548322,11,Pune Warriors,4
2012,548322,12,Chennai Super Kings,12
2012,548322,12,Pune Warriors,5
2012,548322,13,Chennai Super Kings,6
2012,548322,13,Pune Warriors,10
2012,548322,14,Chennai Super Kings,8
2012,548322,14,Pune Warriors,6
2012,548322,15,Chennai Super Kings,11
2012,548322,15,Pune Warriors,11
2012,548322,16,Chennai Super Kings,4
2012,548322,16,Pune Warriors,5
2012,548322,17,Chennai Super Kings,11
2012,548322,17,Pune Warriors,12
2012,548322,18,Chennai Super Kings,7
2012,548322,18,Pune Warriors,12
2012,548322,19,Chennai Super Kings,8
2012,548322,19,Pune Warriors,10
2012,548323,0,Kings XI Punjab,7
2012,548323,0,Kolkata Knight Riders,2
2012,548323,1,Kings XI Punjab,7
