index,Season,ID,overs,BattingTeam,total_run,isWicketDelivery,BowlingTeam
0,2012,548321,0,Deccan Chargers,2,0,Delhi Daredevils
1,2012,548321,0,Delhi Daredevils,2,1,Deccan Chargers
2,2012,548321,1,Deccan Chargers,7,0,Delhi Daredevils
3,2012,548321,1,Delhi Daredevils,5,0,Deccan Chargers
4,2012,548321,2,Deccan Chargers,3,1,Delhi Daredevils
5,2012,548321,2,Delhi Daredevils,7,0,Deccan Chargers
6,2012,548321,3,Deccan Chargers,14,0,Delhi Daredevils
7,2012,548321,3,Delhi Daredevils,6,1,Deccan Chargers
8,2012,548321,4,Deccan Chargers,9,0,Delhi Daredevils
9,2012,548321,4,Delhi Daredevils,7,1,Deccan Chargers
10,2012,548321,5,Deccan Chargers,15,0,Delhi Daredevils
11,2012,548321,5,Delhi Daredevils,7,0,Deccan Chargers
12,2012,548321,6,Deccan Chargers,9,0,Delhi Daredevils
13,2012,548321,6,Delhi Daredevils,8,0,Deccan Chargers
14,2012,548321,7,Deccan Chargers,11,0,Delhi Daredevils
15,2012,548321,7,Delhi Daredevils,17,0,Deccan Chargers
16,2012,548321,8,Deccan Chargers,11,0,Delhi Daredevils
17,2012,548321,8,Delhi Daredevils,4,0,Deccan Chargers
18,2012,548321,9,Deccan Chargers,3,1,Delhi Daredevils
19,2012,548321,9,Delhi Daredevils,8,1,Deccan Chargers
20,2012,548321,10,Deccan Chargers,17,0,Delhi Daredevils
21,2012,548321,10,Delhi Daredevils,4,0,Deccan Chargers
22,2012,548321,11,Deccan Chargers,5,1,Delhi Daredevils
23,2012,548321,11,Delhi Daredevils,8,0,Deccan Chargers
24,2012,548321,12,Deccan Chargers,4,0,Delhi Daredevils
25,2012,548321,12,Delhi Daredevils,21,0,Deccan Chargers
26,2012,548321,13,Deccan Chargers,3,1,Delhi Daredevils
27,2012,548321,13,Delhi Daredevils,9,0,Deccan Chargers
28,2012,548321,14,Deccan Chargers,7,0,Delhi Daredevils
29,2012,548321,14,Delhi Daredevils,2,1,Deccan Chargers
30,2012,548321,15,Deccan Chargers,5,0,Delhi Daredevils
31,2012,548321,15,Delhi Daredevils,6,0,Deccan Chargers
32,2012,548321,16,Deccan Chargers,5,1,Delhi Daredevils
33,2012,548321,16,Delhi Daredevils,15,0,Deccan Chargers
34,2012,548321,17,Deccan Chargers,5,2,Delhi Daredevils
35,2012,548321,17,Delhi Daredevils,14,0,Deccan Chargers
36,2012,548321,18,Deccan Chargers,16,0,Delhi Daredevils
37,2012,548321,18,Delhi Daredevils,3,0,Deccan Chargers
38,2012,548321,19,Deccan Chargers,6,1,Delhi Daredevils
39,2012,548322,0,Chennai Super Kings,1,0,Pune Warriors
40,2012,548322,0,Pune Warriors,6,0,Chennai Super Kings
41,2012,548322,1,Chennai Super Kings,7,0,Pune Warriors
42,2012,548322,1,Pune Warriors,10,0,Chennai Super Kings
43,2012,548322,2,Chennai Super Kings,5,0,Pune Warriors
44,2012,548322,2,Pune Warriors,15,1,Chennai Super Kings
45,2012,548322,3,Chennai Super Kings,18,0,Pune Warriors
46,2012,548322,3,Pune Warriors,12,0,Chennai Super Kings
47,2012,548322,4,Chennai Super Kings,8,0,Pune Warriors
48,2012,548322,4,Pune Warriors,5,0,Chennai Super Kings
49,2012,548322,5,Chennai Super Kings,4,0,Pune Warriors
50,2012,548322,5,Pune Warriors,8,0,Chennai Super Kings
51,2012,548322,6,Chennai Super Kings,6,1,Pune Warriors
52,2012,548322,6,Pune Warriors,5,0,Chennai Super Kings
53,2012,548322,7,Chennai Super Kings,6,0,Pune Warriors
54,2012,548322,7,Pune Warriors,2,0,Chennai Super Kings
55,2012,548322,8,Chennai Super Kings,12,0,Pune Warriors
56,2012,548322,8,Pune Warriors,3,1,Chennai Super Kings
57,2012,548322,9,Chennai Super Kings,4,1,Pune Warriors
58,2012,548322,9,Pune Warriors,6,0,Chennai Super Kings
59,2012,548322,10,Chennai Super Kings,13,0,Pune Warriors
60,2012,548322,10,Pune Warriors,9,0,Chennai Super Kings
61,2012,548322,11,Chennai Super Kings,4,1,Pune Warriors
62,2012,548322,11,Pune Warriors,4,0,Chennai Super Kings
63,2012,548322,12,Chennai Super Kings,12,0,Pune Warriors
64,2012,548322,12,Pune Warriors,5,1,Chennai Super Kings
65,2012,548322,13,Chennai Super Kings,6,0,Pune Warriors
66,2012,548322,13,Pune Warriors,10,0,Chennai Super Kings
67,2012,548322,14,Chennai Super Kings,8,0,Pune Warriors
68,2012,548322,14,Pune Warriors,6,0,Chennai Super Kings
69,2012,548322,15,Chennai Super Kings,11,0,Pune Warriors
70,2012,548322,15,Pune Warriors,11,0,Chennai Super Kings
71,2012,548322,16,Chennai Super Kings,4,0,Pune Warriors
72,2012,548322,16,Pune Warriors,5,0,Chennai Super Kings
73,2012,548322,17,Chennai Super Kings,11,0,Pune Warriors
74,2012,548322,17,Pune Warriors,12,0,Chennai Super Kings
75,2012,548322,18,Chennai Super Kings,7,1,Pune Warriors
76,2012,548322,18,Pune Warriors,12,0,Chennai Super Kings
77,2012,548322,19,Chennai Super Kings,8,1,Pune Warriors
78,2012,548322,19,Pune Warriors,10,0,Chennai Super Kings
